nyr:,200
SLR (m), Pchng (cm), pi_0, N_d, SD, SE,min,max
0.140, 1.150, 0.2,  3.195,  1.877,  0.133,  0.000,  9.000
0.140, 1.150, 0.3,  2.970,  1.826,  0.129,  0.000,  9.000
0.140, 1.150, 0.4,  2.820,  1.804,  0.128,  0.000,  9.000
0.140, 1.150, 0.5,  2.615,  1.671,  0.118,  0.000,  7.000
0.160, 1.150, 0.1,  4.105,  2.197,  0.155,  0.000, 11.000
0.160, 1.150, 0.2,  3.570,  2.014,  0.142,  0.000, 10.000
0.160, 1.150, 0.3,  3.275,  1.886,  0.133,  0.000,  9.000
0.160, 1.150, 0.4,  3.090,  1.838,  0.130,  0.000,  9.000
0.160, 1.150, 0.5,  2.910,  1.830,  0.129,  0.000,  9.000
0.180, 1.150, 0.1,  4.735,  2.420,  0.171,  0.000, 11.000
0.180, 1.150, 0.2,  4.025,  2.139,  0.151,  0.000, 11.000
0.180, 1.150, 0.3,  3.675,  2.015,  0.142,  0.000, 10.000
0.180, 1.150, 0.4,  3.470,  1.964,  0.139,  0.000, 10.000
0.180, 1.150, 0.5,  3.225,  1.858,  0.131,  0.000,  9.000
0.200, 1.150, 0.1,  5.370,  2.553,  0.180,  0.000, 12.000
0.200, 1.150, 0.2,  4.590,  2.369,  0.167,  0.000, 11.000
0.200, 1.150, 0.3,  4.140,  2.210,  0.156,  0.000, 11.000
0.200, 1.150, 0.4,  3.840,  2.065,  0.146,  0.000, 10.000
0.200, 1.150, 0.5,  3.630,  2.023,  0.143,  0.000, 10.000
0.220, 1.150, 0.1,  6.230,  2.798,  0.198,  0.000, 13.000
0.220, 1.150, 0.2,  5.245,  2.592,  0.183,  0.000, 12.000
0.220, 1.150, 0.3,  4.755,  2.399,  0.170,  0.000, 11.000
0.220, 1.150, 0.4,  4.370,  2.319,  0.164,  0.000, 11.000
0.220, 1.150, 0.5,  4.040,  2.178,  0.154,  0.000, 10.000
0.240, 1.150, 0.1,  7.335,  2.957,  0.209,  0.000, 14.000
0.240, 1.150, 0.2,  6.040,  2.776,  0.196,  0.000, 13.000
0.240, 1.150, 0.3,  5.380,  2.613,  0.185,  0.000, 12.000
0.240, 1.150, 0.4,  4.955,  2.495,  0.176,  0.000, 11.000
0.240, 1.150, 0.5,  4.570,  2.384,  0.169,  0.000, 11.000
0.260, 1.150, 0.1,  8.515,  3.092,  0.219,  1.000, 16.000
0.260, 1.150, 0.2,  7.045,  2.990,  0.211,  0.000, 14.000
0.260, 1.150, 0.3,  6.215,  2.812,  0.199,  0.000, 13.000
0.260, 1.150, 0.4,  5.660,  2.665,  0.188,  0.000, 12.000
0.260, 1.150, 0.5,  5.190,  2.590,  0.183,  0.000, 11.000
0.280, 1.150, 0.1,  9.950,  3.430,  0.243,  3.000, 20.000
0.280, 1.150, 0.2,  8.210,  3.042,  0.215,  1.000, 15.000
0.280, 1.150, 0.3,  7.210,  3.002,  0.212,  0.000, 14.000
0.280, 1.150, 0.4,  6.455,  2.902,  0.205,  0.000, 13.000
0.280, 1.150, 0.5,  5.965,  2.781,  0.197,  0.000, 12.000
0.300, 1.150, 0.1, 11.530,  3.602,  0.255,  4.000, 22.000
0.300, 1.150, 0.2,  9.580,  3.313,  0.234,  2.000, 19.000
0.300, 1.150, 0.3,  8.425,  3.086,  0.218,  1.000, 16.000
0.300, 1.150, 0.4,  7.615,  3.015,  0.213,  1.000, 15.000
0.300, 1.150, 0.5,  6.860,  2.911,  0.206,  0.000, 14.000
0.320, 1.150, 0.1, 13.840,  3.966,  0.280,  5.000, 24.000
0.320, 1.150, 0.2, 11.020,  3.464,  0.245,  4.000, 21.000
0.320, 1.150, 0.3,  9.785,  3.385,  0.239,  2.000, 20.000
0.320, 1.150, 0.4,  8.720,  3.182,  0.225,  1.000, 17.000
0.320, 1.150, 0.5,  8.025,  3.040,  0.215,  1.000, 15.000
0.340, 1.150, 0.1, 16.380,  4.269,  0.302,  7.000, 29.000
0.340, 1.150, 0.2, 13.075,  3.832,  0.271,  5.000, 23.000
0.340, 1.150, 0.3, 11.320,  3.517,  0.249,  4.000, 22.000
0.340, 1.150, 0.4, 10.255,  3.450,  0.244,  3.000, 20.000
0.340, 1.150, 0.5,  9.250,  3.271,  0.231,  2.000, 18.000
0.360, 1.150, 0.1, 19.125,  4.599,  0.325,  8.000, 34.000
0.360, 1.150, 0.2, 15.665,  4.298,  0.304,  7.000, 28.000
0.360, 1.150, 0.3, 13.485,  3.892,  0.275,  5.000, 24.000
0.360, 1.150, 0.4, 11.870,  3.661,  0.259,  4.000, 22.000
0.360, 1.150, 0.5, 10.765,  3.429,  0.242,  4.000, 20.000
0.380, 1.150, 0.1, 22.260,  5.086,  0.360,  9.000, 39.000
0.380, 1.150, 0.2, 18.330,  4.489,  0.317,  8.000, 31.000
0.380, 1.150, 0.3, 16.070,  4.320,  0.305,  7.000, 29.000
0.380, 1.150, 0.4, 14.335,  4.052,  0.286,  6.000, 25.000
0.380, 1.150, 0.5, 12.745,  3.728,  0.264,  5.000, 22.000
0.400, 1.150, 0.1, 25.910,  5.615,  0.397, 10.000, 43.000
0.400, 1.150, 0.2, 21.365,  4.894,  0.346,  8.000, 37.000
0.400, 1.150, 0.3, 18.790,  4.519,  0.320,  8.000, 33.000
0.400, 1.150, 0.4, 16.905,  4.323,  0.306,  7.000, 29.000
0.400, 1.150, 0.5, 15.210,  4.173,  0.295,  6.000, 27.000
0.420, 1.150, 0.1, 30.025,  5.818,  0.411, 15.000, 46.000
0.420, 1.150, 0.2, 24.905,  5.442,  0.385, 10.000, 41.000
0.420, 1.150, 0.3, 21.875,  4.996,  0.353,  9.000, 37.000
0.420, 1.150, 0.4, 19.690,  4.675,  0.331,  8.000, 36.000
0.420, 1.150, 0.5, 17.945,  4.476,  0.316,  7.000, 30.000
0.440, 1.150, 0.1, 34.125,  6.002,  0.424, 18.000, 53.000
0.440, 1.150, 0.2, 28.850,  5.761,  0.407, 14.000, 46.000
0.440, 1.150, 0.3, 25.460,  5.523,  0.391, 10.000, 43.000
0.440, 1.150, 0.4, 22.920,  5.242,  0.371,  9.000, 40.000
0.440, 1.150, 0.5, 20.900,  4.813,  0.340,  8.000, 37.000
0.460, 1.150, 0.1, 38.555,  6.065,  0.429, 23.000, 56.000
0.460, 1.150, 0.2, 33.040,  5.945,  0.420, 17.000, 51.000
0.460, 1.150, 0.3, 29.485,  5.801,  0.410, 14.000, 46.000
0.460, 1.150, 0.4, 26.780,  5.653,  0.400, 13.000, 43.000
0.460, 1.150, 0.5, 24.280,  5.426,  0.384, 10.000, 41.000
0.480, 1.150, 0.1, 42.975,  6.487,  0.459, 26.000, 62.000
0.480, 1.150, 0.2, 37.310,  6.074,  0.429, 21.000, 54.000
0.480, 1.150, 0.3, 33.715,  5.986,  0.423, 17.000, 51.000
0.480, 1.150, 0.4, 30.725,  5.830,  0.412, 15.000, 47.000
0.480, 1.150, 0.5, 28.130,  5.709,  0.404, 13.000, 45.000
0.500, 1.150, 0.1, 47.935,  7.050,  0.499, 31.000, 71.000
0.500, 1.150, 0.2, 41.820,  6.229,  0.440, 25.000, 60.000
0.500, 1.150, 0.3, 38.095,  6.062,  0.429, 23.000, 55.000
0.500, 1.150, 0.4, 34.960,  6.007,  0.425, 19.000, 53.000
0.500, 1.150, 0.5, 32.220,  5.943,  0.420, 16.000, 49.000
0.000, 1.200, 0.1,  1.730,  1.344,  0.095,  0.000,  6.000
0.000, 1.200, 0.2,  1.515,  1.322,  0.094,  0.000,  6.000
0.000, 1.200, 0.3,  1.405,  1.268,  0.090,  0.000,  6.000
0.000, 1.200, 0.4,  1.280,  1.208,  0.085,  0.000,  6.000
0.000, 1.200, 0.5,  1.145,  1.105,  0.078,  0.000,  5.000
0.020, 1.200, 0.1,  1.945,  1.411,  0.100,  0.000,  7.000
0.020, 1.200, 0.2,  1.750,  1.363,  0.096,  0.000,  6.000
0.020, 1.200, 0.3,  1.590,  1.338,  0.095,  0.000,  6.000
0.020, 1.200, 0.4,  1.490,  1.280,  0.091,  0.000,  6.000
0.020, 1.200, 0.5,  1.355,  1.231,  0.087,  0.000,  6.000
0.040, 1.200, 0.1,  2.160,  1.499,  0.106,  0.000,  7.000
0.040, 1.200, 0.2,  1.940,  1.409,  0.100,  0.000,  7.000
0.040, 1.200, 0.3,  1.805,  1.366,  0.097,  0.000,  6.000
0.040, 1.200, 0.4,  1.700,  1.371,  0.097,  0.000,  6.000
0.040, 1.200, 0.5,  1.565,  1.325,  0.094,  0.000,  6.000
0.060, 1.200, 0.1,  2.415,  1.560,  0.110,  0.000,  7.000
0.060, 1.200, 0.2,  2.135,  1.459,  0.103,  0.000,  7.000
0.060, 1.200, 0.3,  2.000,  1.421,  0.101,  0.000,  7.000
0.060, 1.200, 0.4,  1.865,  1.355,  0.096,  0.000,  6.000
0.060, 1.200, 0.5,  1.780,  1.364,  0.096,  0.000,  6.000
0.080, 1.200, 0.1,  2.760,  1.734,  0.123,  0.000,  9.000
0.080, 1.200, 0.2,  2.395,  1.523,  0.108,  0.000,  7.000
0.080, 1.200, 0.3,  2.215,  1.470,  0.104,  0.000,  7.000
0.080, 1.200, 0.4,  2.080,  1.419,  0.100,  0.000,  7.000
0.080, 1.200, 0.5,  1.990,  1.396,  0.099,  0.000,  7.000
0.100, 1.200, 0.1,  3.075,  1.810,  0.128,  0.000,  9.000
0.100, 1.200, 0.2,  2.770,  1.753,  0.124,  0.000,  9.000
0.100, 1.200, 0.3,  2.490,  1.572,  0.111,  0.000,  7.000
0.100, 1.200, 0.4,  2.360,  1.547,  0.109,  0.000,  7.000
0.100, 1.200, 0.5,  2.180,  1.459,  0.103,  0.000,  7.000
0.120, 1.200, 0.1,  3.480,  1.972,  0.139,  0.000, 10.000
0.120, 1.200, 0.2,  3.050,  1.842,  0.130,  0.000,  9.000
0.120, 1.200, 0.3,  2.835,  1.801,  0.127,  0.000,  9.000
0.120, 1.200, 0.4,  2.620,  1.700,  0.120,  0.000,  8.000
0.120, 1.200, 0.5,  2.450,  1.597,  0.113,  0.000,  7.000
0.140, 1.200, 0.1,  3.825,  2.109,  0.149,  0.000, 10.000
0.140, 1.200, 0.2,  3.400,  1.967,  0.139,  0.000, 10.000
0.140, 1.200, 0.3,  3.135,  1.848,  0.131,  0.000,  9.000
0.140, 1.200, 0.4,  2.950,  1.840,  0.130,  0.000,  9.000
0.140, 1.200, 0.5,  2.775,  1.755,  0.124,  0.000,  9.000
0.160, 1.200, 0.1,  4.375,  2.302,  0.163,  0.000, 11.000
0.160, 1.200, 0.2,  3.800,  2.091,  0.148,  0.000, 10.000
0.160, 1.200, 0.3,  3.495,  2.013,  0.142,  0.000, 10.000
0.160, 1.200, 0.4,  3.245,  1.869,  0.132,  0.000,  9.000
0.160, 1.200, 0.5,  3.070,  1.844,  0.130,  0.000,  9.000
0.180, 1.200, 0.1,  5.040,  2.496,  0.176,  0.000, 11.000
0.180, 1.200, 0.2,  4.325,  2.286,  0.162,  0.000, 11.000
0.180, 1.200, 0.3,  3.915,  2.107,  0.149,  0.000, 10.000
0.180, 1.200, 0.4,  3.670,  2.035,  0.144,  0.000, 10.000
0.180, 1.200, 0.5,  3.420,  1.960,  0.139,  0.000,  9.000
0.200, 1.200, 0.1,  5.840,  2.722,  0.193,  0.000, 13.000
0.200, 1.200, 0.2,  4.945,  2.497,  0.177,  0.000, 11.000
0.200, 1.200, 0.3,  4.430,  2.322,  0.164,  0.000, 11.000
0.200, 1.200, 0.4,  4.085,  2.189,  0.155,  0.000, 10.000
0.200, 1.200, 0.5,  3.820,  2.073,  0.147,  0.000, 10.000
0.220, 1.200, 0.1,  6.750,  2.891,  0.204,  0.000, 14.000
0.220, 1.200, 0.2,  5.685,  2.653,  0.188,  0.000, 12.000
0.220, 1.200, 0.3,  5.075,  2.536,  0.179,  0.000, 11.000
0.220, 1.200, 0.4,  4.645,  2.422,  0.171,  0.000, 11.000
0.220, 1.200, 0.5,  4.335,  2.302,  0.163,  0.000, 11.000
0.240, 1.200, 0.1,  7.995,  3.035,  0.215,  1.000, 15.000
0.240, 1.200, 0.2,  6.520,  2.900,  0.205,  0.000, 13.000
0.240, 1.200, 0.3,  5.845,  2.701,  0.191,  0.000, 12.000
0.240, 1.200, 0.4,  5.300,  2.624,  0.186,  0.000, 12.000
0.240, 1.200, 0.5,  4.930,  2.523,  0.178,  0.000, 11.000
0.260, 1.200, 0.1,  9.215,  3.273,  0.231,  1.000, 17.000
0.260, 1.200, 0.2,  7.705,  3.063,  0.217,  1.000, 15.000
0.260, 1.200, 0.3,  6.695,  2.964,  0.210,  0.000, 14.000
0.260, 1.200, 0.4,  6.095,  2.833,  0.200,  0.000, 13.000
0.260, 1.200, 0.5,  5.590,  2.675,  0.189,  0.000, 12.000
0.280, 1.200, 0.1, 10.780,  3.505,  0.248,  3.000, 21.000
0.280, 1.200, 0.2,  8.865,  3.242,  0.229,  1.000, 17.000
0.280, 1.200, 0.3,  7.880,  3.068,  0.217,  1.000, 15.000
0.280, 1.200, 0.4,  7.065,  3.001,  0.212,  0.000, 15.000
0.280, 1.200, 0.5,  6.415,  2.906,  0.205,  0.000, 13.000
0.300, 1.200, 0.1, 12.680,  3.833,  0.271,  4.000, 22.000
0.300, 1.200, 0.2, 10.430,  3.544,  0.251,  3.000, 21.000
0.300, 1.200, 0.3,  9.050,  3.257,  0.230,  1.000, 17.000
0.300, 1.200, 0.4,  8.245,  3.118,  0.220,  1.000, 15.000
0.300, 1.200, 0.5,  7.460,  3.055,  0.216,  0.000, 15.000
0.320, 1.200, 0.1, 15.250,  4.139,  0.293,  6.000, 28.000
0.320, 1.200, 0.2, 12.100,  3.697,  0.261,  4.000, 22.000
0.320, 1.200, 0.3, 10.655,  3.552,  0.251,  3.000, 21.000
0.320, 1.200, 0.4,  9.555,  3.358,  0.237,  2.000, 19.000
0.320, 1.200, 0.5,  8.675,  3.157,  0.223,  1.000, 16.000
0.340, 1.200, 0.1, 18.085,  4.461,  0.315,  7.000, 31.000
0.340, 1.200, 0.2, 14.630,  4.144,  0.293,  6.000, 26.000
0.340, 1.200, 0.3, 12.430,  3.814,  0.270,  4.000, 22.000
0.340, 1.200, 0.4, 11.125,  3.536,  0.250,  4.000, 21.000
0.340, 1.200, 0.5, 10.170,  3.525,  0.249,  3.000, 21.000
0.360, 1.200, 0.1, 21.140,  4.793,  0.339,  9.000, 36.000
0.360, 1.200, 0.2, 17.295,  4.334,  0.306,  7.000, 29.000
0.360, 1.200, 0.3, 14.985,  4.128,  0.292,  6.000, 26.000
0.360, 1.200, 0.4, 13.200,  3.815,  0.270,  5.000, 23.000
0.360, 1.200, 0.5, 11.785,  3.655,  0.258,  4.000, 22.000
0.380, 1.200, 0.1, 24.665,  5.466,  0.386, 10.000, 41.000
0.380, 1.200, 0.2, 20.225,  4.703,  0.333,  9.000, 36.000
0.380, 1.200, 0.3, 17.775,  4.339,  0.307,  7.000, 30.000
0.380, 1.200, 0.4, 15.805,  4.268,  0.302,  7.000, 28.000
0.380, 1.200, 0.5, 14.195,  4.012,  0.284,  5.000, 25.000
0.400, 1.200, 0.1, 28.830,  5.834,  0.413, 13.000, 46.000
0.400, 1.200, 0.2, 23.635,  5.244,  0.371, 10.000, 40.000
0.400, 1.200, 0.3, 20.705,  4.734,  0.335,  9.000, 36.000
0.400, 1.200, 0.4, 18.625,  4.523,  0.320,  7.000, 31.000
0.400, 1.200, 0.5, 16.825,  4.333,  0.306,  7.000, 29.000
0.420, 1.200, 0.1, 33.225,  6.084,  0.430, 19.000, 51.000
0.420, 1.200, 0.2, 27.735,  5.726,  0.405, 13.000, 43.000
0.420, 1.200, 0.3, 24.230,  5.363,  0.379, 10.000, 40.000
0.420, 1.200, 0.4, 21.790,  4.884,  0.345,  9.000, 37.000
0.420, 1.200, 0.5, 19.730,  4.630,  0.327,  9.000, 33.000
0.440, 1.200, 0.1, 37.985,  6.264,  0.443, 23.000, 59.000
0.440, 1.200, 0.2, 32.095,  6.072,  0.429, 17.000, 51.000
0.440, 1.200, 0.3, 28.415,  5.723,  0.405, 13.000, 45.000
0.440, 1.200, 0.4, 25.405,  5.497,  0.389, 12.000, 41.000
0.440, 1.200, 0.5, 23.005,  5.150,  0.364, 10.000, 40.000
0.460, 1.200, 0.1, 43.070,  6.333,  0.448, 27.000, 62.000
0.460, 1.200, 0.2, 36.665,  6.183,  0.437, 21.000, 57.000
0.460, 1.200, 0.3, 32.830,  6.013,  0.425, 19.000, 51.000
0.460, 1.200, 0.4, 29.755,  5.901,  0.417, 14.000, 47.000
0.460, 1.200, 0.5, 26.945,  5.633,  0.398, 12.000, 43.000
0.480, 1.200, 0.1, 48.385,  7.054,  0.499, 31.000, 69.000
0.480, 1.200, 0.2, 41.550,  6.251,  0.442, 26.000, 62.000
0.480, 1.200, 0.3, 37.465,  6.243,  0.441, 22.000, 58.000
0.480, 1.200, 0.4, 34.195,  6.154,  0.435, 19.000, 53.000
0.480, 1.200, 0.5, 31.425,  6.000,  0.424, 17.000, 48.000
0.500, 1.200, 0.1, 54.005,  7.516,  0.531, 36.000, 76.000
0.500, 1.200, 0.2, 46.755,  6.855,  0.485, 30.000, 66.000
0.500, 1.200, 0.3, 42.475,  6.314,  0.446, 27.000, 62.000
0.500, 1.200, 0.4, 38.875,  6.136,  0.434, 23.000, 59.000
0.500, 1.200, 0.5, 35.875,  6.228,  0.440, 21.000, 57.000
0.000, 1.250, 0.1,  1.810,  1.361,  0.096,  0.000,  6.000
0.000, 1.250, 0.2,  1.615,  1.348,  0.095,  0.000,  6.000
0.000, 1.250, 0.3,  1.485,  1.295,  0.092,  0.000,  6.000
0.000, 1.250, 0.4,  1.340,  1.234,  0.087,  0.000,  6.000
0.000, 1.250, 0.5,  1.275,  1.190,  0.084,  0.000,  5.000
0.020, 1.250, 0.1,  2.015,  1.437,  0.102,  0.000,  7.000
0.020, 1.250, 0.2,  1.820,  1.370,  0.097,  0.000,  6.000
0.020, 1.250, 0.3,  1.690,  1.365,  0.097,  0.000,  6.000
0.020, 1.250, 0.4,  1.545,  1.322,  0.093,  0.000,  6.000
0.020, 1.250, 0.5,  1.475,  1.295,  0.092,  0.000,  6.000
0.040, 1.250, 0.1,  2.270,  1.542,  0.109,  0.000,  7.000
0.040, 1.250, 0.2,  2.025,  1.444,  0.102,  0.000,  7.000
0.040, 1.250, 0.3,  1.870,  1.379,  0.098,  0.000,  6.000
0.040, 1.250, 0.4,  1.775,  1.383,  0.098,  0.000,  6.000
0.040, 1.250, 0.5,  1.655,  1.366,  0.097,  0.000,  6.000
0.060, 1.250, 0.1,  2.565,  1.688,  0.119,  0.000,  9.000
0.060, 1.250, 0.2,  2.265,  1.522,  0.108,  0.000,  7.000
0.060, 1.250, 0.3,  2.065,  1.436,  0.102,  0.000,  7.000
0.060, 1.250, 0.4,  1.975,  1.423,  0.101,  0.000,  7.000
0.060, 1.250, 0.5,  1.850,  1.370,  0.097,  0.000,  6.000
0.080, 1.250, 0.1,  2.885,  1.746,  0.123,  0.000,  9.000
0.080, 1.250, 0.2,  2.540,  1.613,  0.114,  0.000,  8.000
0.080, 1.250, 0.3,  2.340,  1.528,  0.108,  0.000,  7.000
0.080, 1.250, 0.4,  2.165,  1.459,  0.103,  0.000,  7.000
0.080, 1.250, 0.5,  2.070,  1.423,  0.101,  0.000,  7.000
0.100, 1.250, 0.1,  3.220,  1.876,  0.133,  0.000,  9.000
0.100, 1.250, 0.2,  2.865,  1.790,  0.127,  0.000,  9.000
0.100, 1.250, 0.3,  2.640,  1.701,  0.120,  0.000,  9.000
0.100, 1.250, 0.4,  2.445,  1.568,  0.111,  0.000,  7.000
0.100, 1.250, 0.5,  2.300,  1.537,  0.109,  0.000,  7.000
0.120, 1.250, 0.1,  3.610,  2.027,  0.143,  0.000, 10.000
0.120, 1.250, 0.2,  3.175,  1.877,  0.133,  0.000,  9.000
0.120, 1.250, 0.3,  2.965,  1.828,  0.129,  0.000,  9.000
0.120, 1.250, 0.4,  2.775,  1.743,  0.123,  0.000,  9.000
0.120, 1.250, 0.5,  2.575,  1.636,  0.116,  0.000,  7.000
0.140, 1.250, 0.1,  4.100,  2.221,  0.157,  0.000, 11.000
0.140, 1.250, 0.2,  3.595,  2.033,  0.144,  0.000, 10.000
0.140, 1.250, 0.3,  3.280,  1.916,  0.135,  0.000,  9.000
0.140, 1.250, 0.4,  3.090,  1.854,  0.131,  0.000,  9.000
0.140, 1.250, 0.5,  2.925,  1.835,  0.130,  0.000,  9.000
0.160, 1.250, 0.1,  4.695,  2.400,  0.170,  0.000, 11.000
0.160, 1.250, 0.2,  4.020,  2.164,  0.153,  0.000, 10.000
0.160, 1.250, 0.3,  3.675,  2.057,  0.145,  0.000, 10.000
0.160, 1.250, 0.4,  3.425,  1.996,  0.141,  0.000, 10.000
0.160, 1.250, 0.5,  3.215,  1.878,  0.133,  0.000,  9.000
0.180, 1.250, 0.1,  5.420,  2.590,  0.183,  0.000, 12.000
0.180, 1.250, 0.2,  4.590,  2.358,  0.167,  0.000, 11.000
0.180, 1.250, 0.3,  4.150,  2.196,  0.155,  0.000, 11.000
0.180, 1.250, 0.4,  3.865,  2.083,  0.147,  0.000, 10.000
0.180, 1.250, 0.5,  3.670,  2.013,  0.142,  0.000, 10.000
0.200, 1.250, 0.1,  6.285,  2.802,  0.198,  0.000, 13.000
0.200, 1.250, 0.2,  5.275,  2.566,  0.181,  0.000, 12.000
0.200, 1.250, 0.3,  4.720,  2.406,  0.170,  0.000, 11.000
0.200, 1.250, 0.4,  4.365,  2.302,  0.163,  0.000, 11.000
0.200, 1.250, 0.5,  4.020,  2.157,  0.153,  0.000, 10.000
0.220, 1.250, 0.1,  7.360,  3.038,  0.215,  0.000, 15.000
0.220, 1.250, 0.2,  6.115,  2.791,  0.197,  0.000, 13.000
0.220, 1.250, 0.3,  5.430,  2.629,  0.186,  0.000, 12.000
0.220, 1.250, 0.4,  5.010,  2.532,  0.179,  0.000, 11.000
0.220, 1.250, 0.5,  4.600,  2.393,  0.169,  0.000, 11.000
0.240, 1.250, 0.1,  8.640,  3.143,  0.222,  1.000, 16.000
0.240, 1.250, 0.2,  7.085,  2.960,  0.209,  0.000, 14.000
0.240, 1.250, 0.3,  6.245,  2.833,  0.200,  0.000, 13.000
0.240, 1.250, 0.4,  5.690,  2.647,  0.187,  0.000, 12.000
0.240, 1.250, 0.5,  5.240,  2.554,  0.181,  0.000, 11.000
0.260, 1.250, 0.1, 10.190,  3.535,  0.250,  2.000, 22.000
0.260, 1.250, 0.2,  8.350,  3.171,  0.224,  1.000, 16.000
0.260, 1.250, 0.3,  7.295,  3.077,  0.218,  0.000, 15.000
0.260, 1.250, 0.4,  6.550,  2.915,  0.206,  0.000, 13.000
0.260, 1.250, 0.5,  6.035,  2.783,  0.197,  0.000, 12.000
0.280, 1.250, 0.1, 11.825,  3.635,  0.257,  4.000, 22.000
0.280, 1.250, 0.2,  9.690,  3.425,  0.242,  2.000, 20.000
0.280, 1.250, 0.3,  8.545,  3.173,  0.224,  1.000, 16.000
0.280, 1.250, 0.4,  7.695,  3.079,  0.218,  1.000, 15.000
0.280, 1.250, 0.5,  6.905,  2.961,  0.209,  0.000, 14.000
0.300, 1.250, 0.1, 14.155,  4.024,  0.285,  5.000, 25.000
0.300, 1.250, 0.2, 11.375,  3.617,  0.256,  4.000, 22.000
0.300, 1.250, 0.3, 10.040,  3.493,  0.247,  2.000, 21.000
0.300, 1.250, 0.4,  8.940,  3.270,  0.231,  1.000, 18.000
0.300, 1.250, 0.5,  8.165,  3.109,  0.220,  1.000, 15.000
0.320, 1.250, 0.1, 16.980,  4.484,  0.317,  7.000, 30.000
0.320, 1.250, 0.2, 13.510,  3.885,  0.275,  5.000, 23.000
0.320, 1.250, 0.3, 11.605,  3.628,  0.257,  4.000, 22.000
0.320, 1.250, 0.4, 10.495,  3.624,  0.256,  3.000, 22.000
0.320, 1.250, 0.5,  9.405,  3.360,  0.238,  1.000, 18.000
0.340, 1.250, 0.1, 19.990,  4.631,  0.327, 10.000, 34.000
0.340, 1.250, 0.2, 16.185,  4.375,  0.309,  6.000, 29.000
0.340, 1.250, 0.3, 13.850,  3.974,  0.281,  5.000, 24.000
0.340, 1.250, 0.4, 12.265,  3.754,  0.265,  4.000, 22.000
0.340, 1.250, 0.5, 11.070,  3.594,  0.254,  3.000, 22.000
0.360, 1.250, 0.1, 23.340,  5.066,  0.358, 12.000, 39.000
0.360, 1.250, 0.2, 19.190,  4.578,  0.324,  9.000, 32.000
0.360, 1.250, 0.3, 16.665,  4.486,  0.317,  7.000, 29.000
0.360, 1.250, 0.4, 14.765,  4.154,  0.294,  6.000, 26.000
0.360, 1.250, 0.5, 13.065,  3.924,  0.277,  4.000, 23.000
0.380, 1.250, 0.1, 27.565,  5.699,  0.403, 14.000, 45.000
0.380, 1.250, 0.2, 22.480,  4.886,  0.345, 11.000, 38.000
0.380, 1.250, 0.3, 19.615,  4.583,  0.324, 10.000, 32.000
0.380, 1.250, 0.4, 17.565,  4.436,  0.314,  7.000, 30.000
0.380, 1.250, 0.5, 15.710,  4.250,  0.301,  6.000, 28.000
0.400, 1.250, 0.1, 32.220,  6.189,  0.438, 18.000, 50.000
0.400, 1.250, 0.2, 26.390,  5.606,  0.396, 13.000, 43.000
0.400, 1.250, 0.3, 22.980,  4.950,  0.350, 11.000, 38.000
0.400, 1.250, 0.4, 20.675,  4.714,  0.333, 11.000, 35.000
0.400, 1.250, 0.5, 18.710,  4.558,  0.322,  8.000, 32.000
0.420, 1.250, 0.1, 37.170,  6.445,  0.456, 22.000, 58.000
0.420, 1.250, 0.2, 30.935,  6.072,  0.429, 15.000, 49.000
0.420, 1.250, 0.3, 27.085,  5.596,  0.396, 14.000, 44.000
0.420, 1.250, 0.4, 24.160,  5.239,  0.370, 12.000, 42.000
0.420, 1.250, 0.5, 21.905,  4.835,  0.342, 11.000, 37.000
0.440, 1.250, 0.1, 42.435,  6.521,  0.461, 26.000, 65.000
0.440, 1.250, 0.2, 35.760,  6.401,  0.453, 21.000, 55.000
0.440, 1.250, 0.3, 31.700,  6.133,  0.434, 17.000, 49.000
0.440, 1.250, 0.4, 28.500,  5.809,  0.411, 14.000, 45.000
0.440, 1.250, 0.5, 25.730,  5.554,  0.393, 12.000, 43.000
0.460, 1.250, 0.1, 48.025,  6.981,  0.494, 33.000, 69.000
0.460, 1.250, 0.2, 40.920,  6.431,  0.455, 24.000, 63.000
0.460, 1.250, 0.3, 36.665,  6.385,  0.451, 22.000, 58.000
0.460, 1.250, 0.4, 33.225,  6.201,  0.439, 19.000, 52.000
0.460, 1.250, 0.5, 30.165,  5.984,  0.423, 15.000, 48.000
0.480, 1.250, 0.1, 54.225,  7.651,  0.541, 37.000, 76.000
0.480, 1.250, 0.2, 46.490,  6.730,  0.476, 30.000, 67.000
0.480, 1.250, 0.3, 41.720,  6.461,  0.457, 24.000, 63.000
0.480, 1.250, 0.4, 38.075,  6.396,  0.452, 22.000, 60.000
0.480, 1.250, 0.5, 34.930,  6.315,  0.447, 21.000, 54.000
0.500, 1.250, 0.1, 60.560,  8.096,  0.572, 42.000, 87.000
0.500, 1.250, 0.2, 52.430,  7.564,  0.535, 35.000, 74.000
0.500, 1.250, 0.3, 47.385,  6.832,  0.483, 32.000, 68.000
0.500, 1.250, 0.4, 43.485,  6.540,  0.462, 27.000, 66.000
0.500, 1.250, 0.5, 40.030,  6.504,  0.460, 24.000, 62.000
0.000, 1.300, 0.1,  1.910,  1.415,  0.100,  0.000,  7.000
0.000, 1.300, 0.2,  1.705,  1.355,  0.096,  0.000,  6.000
0.000, 1.300, 0.3,  1.535,  1.330,  0.094,  0.000,  6.000
