nyr:,200
SLR (m), Pchng (cm), pi_0, N_d, SD, SE,min,max
0.400, 0.050, 0.5,  3.665,  2.089,  0.148,  0.000, 10.000
0.420, 0.050, 0.1,  6.305,  2.859,  0.202,  0.000, 14.000
0.420, 0.050, 0.2,  5.320,  2.658,  0.188,  0.000, 12.000
0.420, 0.050, 0.3,  4.765,  2.486,  0.176,  0.000, 12.000
0.420, 0.050, 0.4,  4.450,  2.399,  0.170,  0.000, 11.000
0.420, 0.050, 0.5,  4.125,  2.277,  0.161,  0.000, 11.000
0.440, 0.050, 0.1,  7.245,  2.965,  0.210,  1.000, 15.000
0.440, 0.050, 0.2,  6.070,  2.820,  0.199,  0.000, 14.000
0.440, 0.050, 0.3,  5.405,  2.683,  0.190,  0.000, 12.000
0.440, 0.050, 0.4,  4.960,  2.512,  0.178,  0.000, 12.000
0.440, 0.050, 0.5,  4.605,  2.410,  0.170,  0.000, 11.000
0.460, 0.050, 0.1,  8.330,  3.193,  0.226,  2.000, 16.000
0.460, 0.050, 0.2,  7.020,  2.957,  0.209,  1.000, 15.000
0.460, 0.050, 0.3,  6.205,  2.840,  0.201,  0.000, 14.000
0.460, 0.050, 0.4,  5.650,  2.751,  0.194,  0.000, 12.000
0.460, 0.050, 0.5,  5.195,  2.594,  0.183,  0.000, 12.000
0.480, 0.050, 0.1,  9.455,  3.285,  0.232,  3.000, 19.000
0.480, 0.050, 0.2,  7.950,  3.133,  0.222,  1.000, 16.000
0.480, 0.050, 0.3,  7.135,  2.955,  0.209,  1.000, 15.000
0.480, 0.050, 0.4,  6.495,  2.860,  0.202,  0.000, 14.000
0.480, 0.050, 0.5,  5.905,  2.797,  0.198,  0.000, 12.000
0.500, 0.050, 0.1, 10.930,  3.589,  0.254,  4.000, 22.000
0.500, 0.050, 0.2,  9.125,  3.256,  0.230,  2.000, 19.000
0.500, 0.050, 0.3,  8.165,  3.152,  0.223,  2.000, 16.000
0.500, 0.050, 0.4,  7.440,  3.009,  0.213,  1.000, 15.000
0.500, 0.050, 0.5,  6.880,  2.919,  0.206,  1.000, 15.000
0.000, 0.100, 0.1,  0.485,  0.730,  0.052,  0.000,  4.000
0.000, 0.100, 0.2,  0.410,  0.603,  0.043,  0.000,  3.000
0.000, 0.100, 0.3,  0.360,  0.585,  0.041,  0.000,  3.000
0.000, 0.100, 0.4,  0.320,  0.538,  0.038,  0.000,  2.000
0.000, 0.100, 0.5,  0.290,  0.517,  0.037,  0.000,  2.000
0.020, 0.100, 0.1,  0.590,  0.797,  0.056,  0.000,  4.000
0.020, 0.100, 0.2,  0.495,  0.723,  0.051,  0.000,  4.000
0.020, 0.100, 0.3,  0.440,  0.631,  0.045,  0.000,  3.000
0.020, 0.100, 0.4,  0.410,  0.620,  0.044,  0.000,  3.000
0.020, 0.100, 0.5,  0.375,  0.605,  0.043,  0.000,  3.000
0.040, 0.100, 0.1,  0.690,  0.870,  0.062,  0.000,  4.000
0.040, 0.100, 0.2,  0.600,  0.814,  0.058,  0.000,  4.000
0.040, 0.100, 0.3,  0.530,  0.756,  0.053,  0.000,  4.000
0.040, 0.100, 0.4,  0.480,  0.687,  0.049,  0.000,  3.000
0.040, 0.100, 0.5,  0.440,  0.639,  0.045,  0.000,  3.000
0.060, 0.100, 0.1,  0.760,  0.892,  0.063,  0.000,  4.000
0.060, 0.100, 0.2,  0.680,  0.861,  0.061,  0.000,  4.000
0.060, 0.100, 0.3,  0.610,  0.813,  0.057,  0.000,  4.000
0.060, 0.100, 0.4,  0.545,  0.769,  0.054,  0.000,  4.000
0.060, 0.100, 0.5,  0.500,  0.716,  0.051,  0.000,  4.000
0.080, 0.100, 0.1,  0.965,  0.999,  0.071,  0.000,  5.000
0.080, 0.100, 0.2,  0.760,  0.870,  0.061,  0.000,  4.000
0.080, 0.100, 0.3,  0.715,  0.859,  0.061,  0.000,  4.000
0.080, 0.100, 0.4,  0.655,  0.824,  0.058,  0.000,  4.000
0.080, 0.100, 0.5,  0.605,  0.789,  0.056,  0.000,  4.000
0.100, 0.100, 0.1,  1.125,  1.056,  0.075,  0.000,  5.000
0.100, 0.100, 0.2,  0.955,  0.984,  0.070,  0.000,  5.000
0.100, 0.100, 0.3,  0.805,  0.901,  0.064,  0.000,  4.000
0.100, 0.100, 0.4,  0.750,  0.884,  0.063,  0.000,  4.000
0.100, 0.100, 0.5,  0.720,  0.863,  0.061,  0.000,  4.000
0.120, 0.100, 0.1,  1.320,  1.185,  0.084,  0.000,  5.000
0.120, 0.100, 0.2,  1.115,  1.043,  0.074,  0.000,  5.000
0.120, 0.100, 0.3,  0.995,  1.020,  0.072,  0.000,  5.000
0.120, 0.100, 0.4,  0.865,  0.965,  0.068,  0.000,  5.000
0.120, 0.100, 0.5,  0.790,  0.906,  0.064,  0.000,  4.000
0.140, 0.100, 0.1,  1.535,  1.295,  0.092,  0.000,  6.000
0.140, 0.100, 0.2,  1.270,  1.159,  0.082,  0.000,  5.000
0.140, 0.100, 0.3,  1.165,  1.088,  0.077,  0.000,  5.000
0.140, 0.100, 0.4,  1.045,  1.048,  0.074,  0.000,  5.000
0.140, 0.100, 0.5,  0.960,  1.022,  0.072,  0.000,  5.000
0.160, 0.100, 0.1,  1.700,  1.352,  0.096,  0.000,  6.000
0.160, 0.100, 0.2,  1.490,  1.280,  0.091,  0.000,  6.000
0.160, 0.100, 0.3,  1.335,  1.187,  0.084,  0.000,  5.000
0.160, 0.100, 0.4,  1.205,  1.113,  0.079,  0.000,  5.000
0.160, 0.100, 0.5,  1.110,  1.069,  0.076,  0.000,  5.000
0.180, 0.100, 0.1,  1.880,  1.358,  0.096,  0.000,  6.000
0.180, 0.100, 0.2,  1.680,  1.348,  0.095,  0.000,  6.000
0.180, 0.100, 0.3,  1.535,  1.287,  0.091,  0.000,  6.000
0.180, 0.100, 0.4,  1.435,  1.226,  0.087,  0.000,  5.000
0.180, 0.100, 0.5,  1.270,  1.137,  0.080,  0.000,  5.000
0.200, 0.100, 0.1,  2.080,  1.457,  0.103,  0.000,  7.000
0.200, 0.100, 0.2,  1.860,  1.367,  0.097,  0.000,  6.000
0.200, 0.100, 0.3,  1.705,  1.352,  0.096,  0.000,  6.000
0.200, 0.100, 0.4,  1.625,  1.335,  0.094,  0.000,  6.000
0.200, 0.100, 0.5,  1.495,  1.268,  0.090,  0.000,  6.000
0.220, 0.100, 0.1,  2.280,  1.570,  0.111,  0.000,  7.000
0.220, 0.100, 0.2,  2.070,  1.465,  0.104,  0.000,  7.000
0.220, 0.100, 0.3,  1.905,  1.395,  0.099,  0.000,  7.000
0.220, 0.100, 0.4,  1.800,  1.407,  0.099,  0.000,  6.000
0.220, 0.100, 0.5,  1.710,  1.380,  0.098,  0.000,  6.000
0.240, 0.100, 0.1,  2.520,  1.644,  0.116,  0.000,  8.000
0.240, 0.100, 0.2,  2.230,  1.529,  0.108,  0.000,  7.000
0.240, 0.100, 0.3,  2.120,  1.496,  0.106,  0.000,  7.000
0.240, 0.100, 0.4,  1.965,  1.419,  0.100,  0.000,  7.000
0.240, 0.100, 0.5,  1.880,  1.420,  0.100,  0.000,  7.000
0.260, 0.100, 0.1,  2.830,  1.862,  0.132,  0.000, 10.000
0.260, 0.100, 0.2,  2.475,  1.641,  0.116,  0.000,  8.000
0.260, 0.100, 0.3,  2.295,  1.594,  0.113,  0.000,  7.000
0.260, 0.100, 0.4,  2.175,  1.532,  0.108,  0.000,  7.000
0.260, 0.100, 0.5,  2.055,  1.457,  0.103,  0.000,  7.000
0.280, 0.100, 0.1,  3.060,  1.909,  0.135,  0.000, 10.000
0.280, 0.100, 0.2,  2.725,  1.788,  0.126,  0.000, 10.000
0.280, 0.100, 0.3,  2.525,  1.650,  0.117,  0.000,  8.000
0.280, 0.100, 0.4,  2.365,  1.614,  0.114,  0.000,  7.000
0.280, 0.100, 0.5,  2.220,  1.524,  0.108,  0.000,  7.000
0.300, 0.100, 0.1,  3.335,  2.008,  0.142,  0.000, 10.000
0.300, 0.100, 0.2,  2.980,  1.907,  0.135,  0.000, 10.000
0.300, 0.100, 0.3,  2.790,  1.820,  0.129,  0.000, 10.000
0.300, 0.100, 0.4,  2.585,  1.669,  0.118,  0.000,  8.000
0.300, 0.100, 0.5,  2.455,  1.634,  0.116,  0.000,  8.000
0.320, 0.100, 0.1,  3.620,  2.078,  0.147,  0.000, 10.000
0.320, 0.100, 0.2,  3.230,  1.948,  0.138,  0.000, 10.000
0.320, 0.100, 0.3,  3.030,  1.910,  0.135,  0.000, 10.000
0.320, 0.100, 0.4,  2.855,  1.874,  0.133,  0.000, 10.000
0.320, 0.100, 0.5,  2.685,  1.772,  0.125,  0.000,  9.000
0.340, 0.100, 0.1,  4.055,  2.244,  0.159,  0.000, 11.000
0.340, 0.100, 0.2,  3.530,  2.052,  0.145,  0.000, 10.000
0.340, 0.100, 0.3,  3.290,  1.981,  0.140,  0.000, 10.000
0.340, 0.100, 0.4,  3.100,  1.915,  0.135,  0.000, 10.000
0.340, 0.100, 0.5,  2.945,  1.903,  0.135,  0.000, 10.000
0.360, 0.100, 0.1,  4.560,  2.418,  0.171,  0.000, 11.000
0.360, 0.100, 0.2,  3.940,  2.189,  0.155,  0.000, 11.000
0.360, 0.100, 0.3,  3.600,  2.079,  0.147,  0.000, 10.000
0.360, 0.100, 0.4,  3.410,  2.033,  0.144,  0.000, 10.000
0.360, 0.100, 0.5,  3.190,  1.932,  0.137,  0.000, 10.000
