SLR (m), Pchng (cm), pi, N_d, SD, SE
0.28,0.1,0.2,3.765,1.91,0.135
0.28,0.1,0.3,3.485,1.818,0.129
0.28,0.1,0.4,3.265,1.749,0.124
0.28,0.1,0.5,3.1,1.698,0.12
0.3,0.1,0.1,4.675,2.148,0.152
0.3,0.1,0.2,4.135,1.982,0.14
0.3,0.1,0.3,3.765,1.91,0.135
0.3,0.1,0.4,3.54,1.84,0.13
0.3,0.1,0.5,3.315,1.761,0.125
0.32,0.1,0.1,5.175,2.249,0.159
0.32,0.1,0.2,4.49,2.127,0.15
0.32,0.1,0.3,4.135,1.982,0.14
0.32,0.1,0.4,3.825,1.935,0.137
0.32,0.1,0.5,3.6,1.867,0.132
0.34,0.1,0.1,5.69,2.294,0.162
0.34,0.1,0.2,4.88,2.186,0.155
0.34,0.1,0.3,4.49,2.127,0.15
0.34,0.1,0.4,4.2,2.027,0.143
0.34,0.1,0.5,3.88,1.932,0.137
0.36,0.1,0.1,6.425,2.411,0.17
0.36,0.1,0.2,5.425,2.265,0.16
0.36,0.1,0.3,4.88,2.186,0.155
0.36,0.1,0.4,4.545,2.154,0.152
0.36,0.1,0.5,4.28,2.096,0.148
0.38,0.1,0.1,7.2,2.703,0.191
0.38,0.1,0.2,6.045,2.302,0.163
0.38,0.1,0.3,5.425,2.265,0.16
0.38,0.1,0.4,4.995,2.195,0.155
0.38,0.1,0.5,4.655,2.149,0.152
0.4,0.1,0.1,8.11,2.94,0.208
0.4,0.1,0.2,6.755,2.531,0.179
0.4,0.1,0.3,6.045,2.302,0.163
0.4,0.1,0.4,5.54,2.264,0.16
0.4,0.1,0.5,5.115,2.204,0.156
0.42,0.1,0.1,9.38,3.115,0.22
0.42,0.1,0.2,7.645,2.778,0.196
0.42,0.1,0.3,6.755,2.531,0.179
0.42,0.1,0.4,6.21,2.337,0.165
0.42,0.1,0.5,5.665,2.278,0.161
0.44,0.1,0.1,10.785,3.305,0.234
0.44,0.1,0.2,8.705,2.987,0.211
0.44,0.1,0.3,7.645,2.778,0.196
0.44,0.1,0.4,6.93,2.58,0.182
0.44,0.1,0.5,6.365,2.417,0.171
0.46,0.1,0.1,12.44,3.393,0.24
0.46,0.1,0.2,10.04,3.222,0.228
0.46,0.1,0.3,8.705,2.987,0.211
0.46,0.1,0.4,7.83,2.843,0.201
0.46,0.1,0.5,7.125,2.681,0.19
0.48,0.1,0.1,14.14,3.693,0.261
0.48,0.1,0.2,11.5,3.354,0.237
0.48,0.1,0.3,10.045,3.224,0.228
0.48,0.1,0.4,8.945,3.01,0.213
0.48,0.1,0.5,8.045,2.932,0.207
0.5,0.1,0.1,16.245,3.961,0.28
0.5,0.1,0.2,13.225,3.499,0.247
0.5,0.1,0.3,11.51,3.36,0.238
0.5,0.1,0.4,10.27,3.204,0.227
0.5,0.1,0.5,9.28,3.106,0.22
0,0.2,0.1,1.08,1.149,0.081
0,0.2,0.2,0.915,1.074,0.076
0,0.2,0.3,0.775,0.948,0.067
0,0.2,0.4,0.675,0.874,0.062
0,0.2,0.5,0.63,0.852,0.06
0.02,0.2,0.1,1.265,1.18,0.083
0.02,0.2,0.2,1.055,1.117,0.079
0.02,0.2,0.3,0.94,1.083,0.077
0.02,0.2,0.4,0.82,0.96,0.068
0.02,0.2,0.5,0.73,0.917,0.065
0.04,0.2,0.1,1.43,1.246,0.088
0.04,0.2,0.2,1.19,1.188,0.084
0.04,0.2,0.3,1.065,1.121,0.079
0.04,0.2,0.4,0.97,1.093,0.077
0.04,0.2,0.5,0.875,1.012,0.072
0.06,0.2,0.1,1.62,1.313,0.093
0.06,0.2,0.2,1.385,1.239,0.088
0.06,0.2,0.3,1.23,1.214,0.086
0.06,0.2,0.4,1.125,1.173,0.083
0.06,0.2,0.5,1.04,1.138,0.08
0.08,0.2,0.1,1.875,1.4,0.099
0.08,0.2,0.2,1.57,1.298,0.092
0.08,0.2,0.3,1.405,1.249,0.088
0.08,0.2,0.4,1.275,1.219,0.086
0.08,0.2,0.5,1.18,1.21,0.086
0.1,0.2,0.1,2.19,1.492,0.105
0.1,0.2,0.2,1.765,1.363,0.096
